x,y,z
44.306358,-78.345323,227.4
44.306545,-78.345282,227.9
44.306731,-78.345227,228.3
44.30691,-78.345085,228.8
44.307095,-78.344978,229.4
44.307274,-78.344903,230.1
44.307466,-78.344862,230.9
44.307667,-78.344831,231.8
44.307868,-78.344827,232.6
44.308049,-78.344791,233.4
44.308231,-78.344737,234.3
44.308415,-78.344706,235.2
44.308626,-78.344711,236.3
44.308825,-78.344694,237.2
44.309018,-78.344685,238.0
44.309207,-78.344696,239.1
44.309391,-78.344705,240.1
44.309591,-78.344756,241.6
44.309701,-78.344781,242.4
44.309695,-78.34478,242.5
44.309863,-78.344827,244.2
44.309931,-78.344829,244.4
44.309993,-78.344589,241.9
44.310006,-78.344558,241.7
44.310125,-78.344331,239.8
44.310238,-78.344339,240.0
44.310441,-78.344351,241.8
44.310622,-78.344346,242.0
44.310726,-78.344346,242.9
44.310932,-78.344311,242.8
44.311114,-78.344307,243.8
44.311301,-78.344296,244.9
44.311498,-78.344274,245.8
44.311687,-78.344188,245.5
44.311861,-78.344076,245.0
44.31204,-78.343952,244.3
44.31223,-78.343838,244.2
44.312414,-78.343716,243.4
44.312578,-78.343534,241.6
44.312751,-78.343409,238.0
44.312842,-78.343427,235.8
44.312989,-78.343336,233.3
44.313145,-78.343167,229.1
44.313268,-78.34298,225.6
44.313361,-78.342848,223.2
44.313434,-78.342608,220.0
44.313495,-78.342341,217.8
44.313555,-78.342103,216.3
44.313629,-78.341871,215.2
44.313678,-78.341816,215.0
44.313764,-78.341822,215.0
44.313952,-78.34189,215.0
44.31399,-78.341892,215.0
44.314027,-78.341863,215.0
44.314052,-78.341896,215.0
44.314063,-78.341883,215.0
44.314043,-78.341855,215.1
44.314027,-78.341835,215.1
44.314057,-78.341863,215.1
44.31415,-78.342089,215.1
44.314112,-78.341928,215.2
44.314044,-78.3418,215.2
44.314067,-78.341885,215.2
44.314151,-78.342102,215.3
44.314098,-78.341931,215.3
44.314021,-78.341797,215.3
44.314018,-78.341814,215.3
44.314023,-78.341827,215.3
44.3141,-78.34204,215.3
44.314147,-78.342099,215.4
44.31412,-78.341972,215.4
44.31402,-78.341787,215.4
44.314024,-78.341826,215.4
44.314098,-78.342081,215.4
44.314127,-78.342116,215.4
44.314107,-78.341942,215.5
44.31404,-78.341812,215.5
44.314077,-78.341973,215.5
44.314125,-78.342091,215.5
44.314089,-78.341886,215.5
44.31403,-78.341792,215.6
44.314056,-78.341921,215.6
44.314147,-78.341985,215.6
44.314053,-78.341819,215.6
44.314032,-78.341797,215.6
44.314126,-78.342031,215.7
44.314151,-78.342005,215.7
44.314047,-78.341779,215.7
44.314035,-78.341763,215.7
44.314087,-78.342035,215.7
44.314138,-78.342238,215.7
44.314214,-78.34233,215.9
44.31419,-78.342188,215.9
44.31419,-78.342159,215.9
44.314132,-78.341939,215.8
44.314042,-78.341769,215.7
44.314128,-78.342068,215.6
44.3142,-78.342304,215.5
44.3142,-78.342322,215.5
44.314168,-78.342256,215.5
44.314076,-78.342028,215.4
44.314027,-78.341883,214.8
44.313994,-78.341788,214.5
44.31399,-78.341865,214.2
44.314002,-78.341835,214.1
44.313987,-78.341899,213.9
44.314035,-78.341937,213.6
44.313986,-78.341861,213.3
44.314025,-78.341844,213.1
44.314008,-78.341793,212.9
44.313926,-78.341582,212.4
44.313841,-78.341363,213.1
44.313729,-78.341101,215.0
44.313627,-78.340881,215.2
44.313527,-78.340718,214.2
44.313404,-78.340517,212.8
44.313265,-78.340312,212.1
44.313106,-78.340119,212.2
44.312972,-78.339922,212.9
44.312942,-78.339871,213.1
44.312858,-78.339711,213.7
44.312753,-78.339493,214.4
44.312678,-78.33942,214.7
44.312644,-78.339384,214.8
44.312519,-78.339134,214.8
44.312467,-78.339025,214.8
